"";"id";"time";"activityrecognition#0";"activityrecognition#1";"android.sensor.accelerometer#mean";"android.sensor.accelerometer#min";"android.sensor.accelerometer#max";"android.sensor.accelerometer#std";"android.sensor.game_rotation_vector#mean";"android.sensor.game_rotation_vector#min";"android.sensor.game_rotation_vector#max";"android.sensor.game_rotation_vector#std";"android.sensor.gravity#mean";"android.sensor.gravity#min";"android.sensor.gravity#max";"android.sensor.gravity#std";"android.sensor.gyroscope#mean";"android.sensor.gyroscope#min";"android.sensor.gyroscope#max";"android.sensor.gyroscope#std";"android.sensor.gyroscope_uncalibrated#mean";"android.sensor.gyroscope_uncalibrated#min";"android.sensor.gyroscope_uncalibrated#max";"android.sensor.gyroscope_uncalibrated#std";"android.sensor.light#mean";"android.sensor.light#min";"android.sensor.light#max";"android.sensor.light#std";"android.sensor.linear_acceleration#mean";"android.sensor.linear_acceleration#min";"android.sensor.linear_acceleration#max";"android.sensor.linear_acceleration#std";"android.sensor.magnetic_field#mean";"android.sensor.magnetic_field#min";"android.sensor.magnetic_field#max";"android.sensor.magnetic_field#std";"android.sensor.magnetic_field_uncalibrated#mean";"android.sensor.magnetic_field_uncalibrated#min";"android.sensor.magnetic_field_uncalibrated#max";"android.sensor.magnetic_field_uncalibrated#std";"android.sensor.orientation#mean";"android.sensor.orientation#min";"android.sensor.orientation#max";"android.sensor.orientation#std";"android.sensor.pressure#mean";"android.sensor.pressure#min";"android.sensor.pressure#max";"android.sensor.pressure#std";"android.sensor.proximity#mean";"android.sensor.proximity#min";"android.sensor.proximity#max";"android.sensor.proximity#std";"android.sensor.rotation_vector#mean";"android.sensor.rotation_vector#min";"android.sensor.rotation_vector#max";"android.sensor.rotation_vector#std";"android.sensor.step_counter#mean";"android.sensor.step_counter#min";"android.sensor.step_counter#max";"android.sensor.step_counter#std";"sound#mean";"sound#min";"sound#max";"sound#std";"speed#mean";"speed#min";"speed#max";"speed#std";"target";"user"
"10";"12177";"234.0";"";"100.0";"9.86456460307";"9.55466288207";"10.3433459018";"0.114261228016";"0.783412281389";"0.77993542066";"0.795632957562";"0.00556877615304";"9.80655905389";"9.80655905389";"9.80655905389";"1.31532892159e-05";"0.131283456879";"0.131283456879";"0.131283456879";"0.00333078345825";"0.0671507338295";"0.0671507338295";"0.0671507338295";"1.16183603545";"135.0";"135.0";"135.0";"";"0.0717473330069";"0.0717473330069";"0.0717473330069";"0.289834150485";"47.1691114892";"46.5561656765";"47.7820573019";"0.86683628132";"236.932685918";"236.932685918";"236.932685918";"2.38690913226";"181.208649964";"180.446099431";"182.817730357";"0.983991458769";"";"";"";"";"";"";"";"";"0.999972632859";"0.999952701343";"0.999997205748";"2.26123255981e-05";"9242.0";"9242.0";"9242.0";"";"70.5706212127";"70.5706212127";"70.5706212127";"7.97487839913";"0.0";"0.0";"0.0";"";"Still";"U10"
"16";"11660";"32.0";"";"54.0";"9.70915302061";"9.18398283068";"10.5730246893";"0.298172238027";"0.779378917646";"0.76304869551";"0.796032408564";"0.00823328267681";"9.8065455661";"9.8065455661";"9.8065455661";"2.02497577685e-05";"0.251735070851";"0.246238566324";"0.257231575379";"0.00777323124844";"0.0762236447378";"0.0406672941416";"0.111779995334";"0.0502842732416";"2.0";"2.0";"2.0";"";"0.101048539571";"0.0322708838429";"0.169826195299";"0.0972662935188";"39.3508358393";"39.3508358393";"39.3508358393";"4.40347981387";"263.262695407";"261.737083313";"265.24201066";"1.79597155999";"70.728007837";"66.5514920945";"73.6161252716";"2.21056365527";"";"";"";"";"";"";"";"";"0.582883063008";"0.578187394176";"0.58757873184";"0.00664067854663";"";"";"";"";"84.4749283016";"84.4188895265";"84.5309670768";"0.0792507958783";"0.993526";"0.993526";"0.993526";"";"Still";"U10"
"24";"11656";"28.0";"";"54.0";"9.7303974709";"9.05071590701";"11.0034344512";"0.295130633061";"0.723544070204";"0.715147080903";"0.736945651793";"0.00805786417809";"9.80654848085";"9.80654848085";"9.80654848085";"1.88392338404e-05";"0.270307147257";"0.044572236708";"0.412518147175";"0.140345521348";"0.134245888624";"0.134245888624";"0.134245888624";"0.0840740131368";"2.0";"2.0";"2.0";"";"0.127391459126";"0.110974678048";"0.143808240203";"0.0232168344503";"40.4004370335";"40.4004370335";"40.4004370335";"4.40347981387";"261.406583978";"259.310632073";"262.869687595";"1.86201282726";"65.9505158639";"62.6967247948";"69.1959167851";"1.72285536546";"";"";"";"";"";"";"";"";"0.538070381804";"0.529355683827";"0.546785079781";"0.0123244440711";"";"";"";"";"84.1331898468";"83.7097098347";"84.3580974841";"0.366980758317";"0.993526";"0.993526";"0.993526";"";"Still";"U10"
"28";"11234";"75.0";"";"92.0";"9.76439107214";"9.31268511065";"10.0140708603";"0.127722180671";"0.656991572267";"0.610942464046";"0.676721608107";"0.021456165787";"9.80654227493";"9.80654227493";"9.80654227493";"1.67541102919e-05";"0.0763979838236";"0.0194711803597";"0.137931158519";"0.0593641777364";"0.710826682388";"0.710826682388";"0.710826682388";"1.21178235356";"27.0";"27.0";"27.0";"";"0.0883767488902";"0.0883767488902";"0.0883767488902";"0.194248032726";"51.5641666397";"51.5641666397";"51.5641666397";"0.874145457368";"263.601127661";"260.323274087";"266.878981235";"4.63558497982";"206.428300222";"201.904757071";"208.366058134";"1.39359968797";"";"";"";"";"";"";"";"";"0.991817330917";"0.99069551659";"0.992306067461";"0.000756439372172";"";"";"";"";"57.6504907591";"57.6504907591";"57.6504907591";"0.854010318254";"0.90623474";"0.90623474";"0.90623474";"";"Still";"U10"
"29";"22001";"19.0";"";"100.0";"10.4121050534";"5.05376894561";"18.9514750663";"3.32867321693";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2.0";"2.0";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"72.3975561167";"67.2985206758";"77.4965915576";"7.21112507554";"2.236068";"2.236068";"2.236068";"0.0";"Walking";"U6"
"35";"11663";"35.0";"";"54.0";"9.73038508563";"9.32240007841";"10.2210419843";"0.136865673234";"0.796485875641";"0.787415975147";"0.809454213968";"0.00663809798092";"9.80658317937";"9.80657183974";"9.806594519";"1.60366585375e-05";"0.0697206347794";"0.0264864870489";"0.148554588788";"0.0553403769189";"0.0857593006413";"0.0475220200323";"0.111552759749";"0.0337804740543";"2.0";"2.0";"2.0";"";"0.180260256296";"0.180260256296";"0.180260256296";"0.0972662935188";"41.3979826652";"41.3979826652";"41.3979826652";"4.40347981387";"264.730383185";"264.730383185";"264.730383185";"0.370485469534";"72.7122133045";"70.6397024442";"74.8375848087";"1.13603540036";"";"";"";"";"";"";"";"";"0.595625362675";"0.592118371442";"0.599132353909";"0.00495963456554";"";"";"";"";"84.3823273599";"84.2708863708";"84.4937683491";"0.157601358326";"0.0";"0.0";"0.0";"";"Still";"U10"
"40";"21425";"52.0";"";"46.0";"9.77435326186";"8.59208767079";"11.8420693298";"0.607952664046";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"305.0";"305.0";"305.0";"93.3380951166";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100.0";"100.0";"100.0";"";"";"";"";"";"";"";"";"";"72.5820730035";"72.5820730035";"72.5820730035";"1.1615546931";"20.5";"20.5";"20.5";"0.353553390593";"Car";"U6"
"41";"21275";"77.0";"";"100.0";"10.0526353978";"8.39603068193";"12.5680799449";"0.843316037804";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3.0";"3.0";"3.0";"0.707106781187";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100.0";"100.0";"100.0";"";"";"";"";"";"";"";"";"";"76.3777082919";"76.3777082919";"76.3777082919";"2.20611006676";"6.0";"5.5";"6.5";"0.707106781187";"Car";"U6"
"42";"12212";"269.0";"";"100.0";"9.84426111111";"9.65153073194";"10.0013323255";"0.0680073112728";"0.486840839518";"0.485189551329";"0.488462299236";"0.00107388903081";"9.80660858072";"9.80660858072";"9.80660858072";"1.09302963951e-05";"0.0564291597404";"0.011845117064";"0.137367281974";"0.0702151536085";"0.0440438533168";"0.0179972141096";"0.0651194949376";"0.0174267860572";"135.0";"135.0";"135.0";"";"0.0917316185707";"0.0917316185707";"0.0917316185707";"0.028498354515";"45.6516617304";"45.6516617304";"45.6516617304";"1.25799592193";"242.612778807";"241.751211864";"243.89862456";"1.13483686174";"91.1522004717";"90.9878367553";"91.2476049001";"0.104032942939";"";"";"";"";"";"";"";"";"0.701652308551";"0.701648754343";"0.701655862759";"5.02640915713e-06";"9242.0";"9242.0";"9242.0";"";"82.8746564628";"82.8746564628";"82.8746564628";"6.30825669765";"0.0";"0.0";"0.0";"";"Still";"U10"
"49";"14599";"17.0";"";"100.0";"10.4136235034";"3.32438745716";"14.6085355752";"4.03183530328";"0.995565251037";"0.995565251037";"0.995565251037";"0.00418203865019";"9.80665039326";"9.80665004952";"9.80665098556";"4.09183404452e-07";"0.597423225122";"0.339193499042";"0.912421216767";"0.167045640237";"0.619693015465";"0.471297195664";"0.70935531933";"0.107886345603";"1.0";"0.0";"2.0";"1.41421356237";"4.22392584314";"2.085425942";"6.20013513342";"1.40995420998";"47.3849759046";"37.3646901103";"58.7790895721";"11.5256020625";"91.5762722247";"87.0721278853";"94.3981492793";"3.34967640736";"365.440150855";"360.976991049";"368.412020394";"3.21525855442";"1023.3276";"1023.3276";"1023.3276";"0.0141704198951";"";"";"";"";"0.934641915757";"0.931710244826";"0.937573586687";"0.00414600879033";"1586.0";"1586.0";"1586.0";"";"77.2211248915";"77.2211248915";"77.2211248915";"";"";"";"";"";"Walking";"U2"
